timestamp_utc,mark_close,high,low,effective_bid,effective_ask,effective_spread,volume,source
2026-07-28T15:13:00+00:00,9.36,9.36,9.25,9.295,9.352,0.057,7,unusual_whales
2026-07-28T15:14:00+00:00,9.72,9.72,9.72,,9.72,,1,unusual_whales
2026-07-28T15:15:00+00:00,9.33,9.35,9.25,9.3,,,3,unusual_whales
2026-07-28T15:16:00+00:00,9.78,9.78,9.63,9.63,9.78,0.15,3,unusual_whales
2026-07-28T15:17:00+00:00,9.45,9.48,9.45,9.48,9.45,,2,unusual_whales
2026-07-28T15:18:00+00:00,10.38,10.5,10.0,10.19,10.0556,,11,unusual_whales
2026-07-28T15:20:00+00:00,11.05,11.05,10.7,10.8167,11.0,0.1833,5,unusual_whales
2026-07-28T15:21:00+00:00,10.99,10.99,10.99,,10.99,,2,unusual_whales
2026-07-28T15:22:00+00:00,11.1,11.16,11.1,,11.12,,3,unusual_whales
2026-07-28T15:23:00+00:00,11.05,11.05,10.96,10.98,11.025,0.045,4,unusual_whales
2026-07-28T15:26:00+00:00,11.57,11.57,11.57,,11.57,,1,unusual_whales
2026-07-28T15:29:00+00:00,11.11,11.3,11.11,,11.2367,,3,unusual_whales
2026-07-28T15:30:00+00:00,11.32,11.32,11.32,,11.32,,2,unusual_whales
2026-07-28T15:36:00+00:00,11.71,11.71,11.65,11.7,,,6,unusual_whales
2026-07-28T15:37:00+00:00,11.71,11.71,11.71,,11.71,,1,unusual_whales
2026-07-28T15:46:00+00:00,12.25,12.25,12.18,,12.215,,2,unusual_whales
2026-07-28T15:53:00+00:00,12.16,12.16,12.16,12.16,,,5,unusual_whales
2026-07-28T16:04:00+00:00,12.0,12.0,12.0,12.0,,,1,unusual_whales
2026-07-28T16:32:00+00:00,11.1,11.1,11.1,,11.1,,1,unusual_whales
2026-07-28T17:20:00+00:00,11.79,11.79,11.42,,11.4606,,16,unusual_whales
2026-07-28T17:22:00+00:00,11.71,11.71,11.71,,11.71,,1,unusual_whales
2026-07-28T17:28:00+00:00,11.56,11.56,11.56,11.56,,,1,unusual_whales
2026-07-28T17:35:00+00:00,11.85,11.85,11.85,,11.85,,1,unusual_whales
2026-07-28T17:47:00+00:00,10.75,10.75,10.75,10.75,,,6,unusual_whales
2026-07-28T17:49:00+00:00,11.11,11.11,11.11,11.11,,,6,unusual_whales
2026-07-28T17:54:00+00:00,10.79,10.79,10.79,10.79,,,10,unusual_whales
2026-07-28T17:58:00+00:00,10.85,10.85,10.85,10.85,,,6,unusual_whales
2026-07-28T17:59:00+00:00,11.12,11.12,11.12,,11.12,,6,unusual_whales
2026-07-28T18:30:00+00:00,10.64,10.64,10.61,,10.625,,12,unusual_whales
2026-07-28T18:32:00+00:00,10.63,10.63,10.63,10.63,,,1,unusual_whales
2026-07-28T18:42:00+00:00,10.58,10.58,10.58,10.58,,,1,unusual_whales
2026-07-28T19:35:00+00:00,11.52,11.52,11.52,11.52,,,4,unusual_whales
2026-07-28T19:45:00+00:00,11.28,11.28,11.28,,11.28,,1,unusual_whales
2026-07-28T19:48:00+00:00,11.15,11.15,11.15,,11.15,,2,unusual_whales
2026-07-28T19:59:00+00:00,10.79,10.79,10.79,10.79,,,1,unusual_whales
2026-07-28T20:00:00+00:00,10.73,10.88,10.73,10.8328,10.8335,0.0007,56,unusual_whales
2026-07-28T20:01:00+00:00,10.74,10.89,10.74,,10.89,,2,unusual_whales
2026-07-28T20:05:00+00:00,10.74,10.74,10.74,,10.74,,1,unusual_whales
2026-07-28T20:11:00+00:00,10.61,10.61,10.61,10.61,,,5,unusual_whales
